1;Cinderela Baiana;comédia;Numa cidade da região metropolitana de Salvador, Bahia, vive uma família humilde. Em busca de melhores condições de vida, Raimundo se muda para a capital, pois arrumou um emprego perto do Pelourinho que pode ajudá-lo a cuidar melhor de sua esposa e filhos. Sua filha, Carla (Carla Perez), descobre a dança na capital e logo se torna uma dançarina famosa. Porém, mesmo depois de alcançar o estrelato, a moça decide se voltar para o lugar de onde veio para ajudar as crianças carentes através da dança.;
2;Birdemic: Shock and Terror;terror;Rod (Alan Bagh ) é um vendedor de software novo que vive uma vida de sucesso no Vale do Silício. Ele se encontra com uma antiga colega e modelo de moda aspirante Nathalie ( Whitney Moore) e começa a namorá-la. As coisas vão bem para o casal, com Rod receber um grande bônus que ele usa para iniciar seu próprio negócio enquanto Nathalie é escolhida como modelo da Victoria's Secret. A medida cresce mais perto e o casal permanece próximo aos sinais de algo dar errado ao seu redor, como incêndios inexplicáveis ​​e as carcaças de aves doentes surgindo em praias .;
3;Um Dia de Fúria;ação;Martin Prendergast (Robert Duvall) é um policial no seu último dia de trabalho antes de se aposentar, e que arrisca a sua própria vida para tentar impedir William Foster (Michael Douglas), um homem que está emocionalmente perturbado porque perdeu o seu emprego e vai encontrar-se com Beth (Barbara Hershey), a sua ex-mulher, e de sua filha, sem querer reconhecer que o seu casamento já terminou há muito tempo.;
